trait,n_genes_in_rds
.alpha.-Amyrin,2
.beta.-Amyrin acetate,2
.beta.-Sitosterol,2
1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,0
"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-",847
"13-Keto-9Z,11E-octadecadienoic acid",138
13S-HOTrE,138
3-Epilupeol,0
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",0
"9,12,13,TriHODE",21
AEG(o-15:2_15:0),46
AEG(o-16:2_16:0),0
AEG(o-16:2_18:2),0
AEG(o-16:3_16:0),0
AEG(o-18:3_16:1),0
AEG(o-18:4_16:1),0
AEG(o-18:4_18:2),0
Alpha-Carotene,0
Antheraxanthin,0
Apocarotenal,0
Cer(24:1),8
Cycloartenol acetate,0
DG(12:0_12:0),0
DG(16:0_18:1),0
DG(16:0_18:2),0
DG(16:0_18:3),0
DG(16:1_18:2),0
DG(16:1_18:3),0
DG(18:0_18:2_0:0),3
DG(18:0_20:3),0
DG(18:1_18:1),0
DG(18:1_18:2),0
DG(18:1_18:3),0
DG(18:1_2:0),0
DG(18:2_18:2),0
DG(18:2_18:3),10
DG(18:3_18:3),0
DG(8:0_8:0),0
DGDG(16:0_18:1),0
DGDG(16:0_18:2),0
DGDG(16:0_18:3),0
DGDG(18:0_18:2),0
DGDG(18:0_18:3),0
DGDG(18:2_18:3),0
DGDG(18:2_18:4),0
DGTS(34:5),8
FA(22:1),324
Fucosterol,0
GalCer(d18:2_18:1),0
GalCer(d18:2_20:1),0
Glycerol Tri-n-octanoate - 40.0 eV,0
Hydroperoxy fatty acid (18:3),11
LPC(16:0_0:0),0
LPC(18:3),0
LPE(16:0_0:0),0
Lupeol,2
Lutein,0
Lycopene,0
MG(12:0),0
MG(16:0),0
MG(18:1),0
MG(18:2),10
MG(18:3),0
MGDG(16:0_18:1),56
MGDG(16:0_18:3),0
MGDG(18:2_18:2),0
MGDG(18:2_18:3),0
MGDG(18:3_18:3),0
NAE(16:0),5
NAE(18:0),32
Oxo fatty acid (18:3),21
PA(16:0_18:1),0
PA(16:0_18:2),0
PC(14:0_14:0),0
PC(14:0_18:0),6
PC(14:0_18:2),3
PC(14:0_18:3),8
PC(14:0_22:5),0
PC(14:0_22:6),0
PC(16:0_16:0),1
PC(16:0_18:0),0
PC(16:0_18:1),0
PC(16:0_18:2),0
PC(16:0_18:3),0
PC(16:0_20:1),9
PC(16:0_20:3),14
PC(16:0_20:4),0
PC(16:0_20:5),0
PC(16:0_22:5),5
PC(16:0_22:6),0
PC(16:1_16:1),5
PC(16:1_18:2),0
PC(16:1_20:4),0
PC(16:1_20:5),7
PC(16:2_16:1),0
PC(18:0_18:1),0
PC(18:0_18:2),0
PC(18:0_18:3),0
PC(18:0_20:2),0
PC(18:0_20:3),0
PC(18:0_20:4),13
PC(18:1_16:0),0
PC(18:1_18:1),0
PC(18:1_18:2),2
PC(18:1_20:1),0
PC(18:1_20:4),40
PC(18:1_24:1),6
PC(18:2_0:0),0
PC(18:2_18:2),0
PC(18:2_20:0),0
PC(18:2_20:4),618
PC(18:3_0:0),0
PC(18:3_18:3),0
PE(12:0_12:0),0
PE(14:0_22:6),0
PE(16:0_0:0),0
PE(16:0_18:0),0
PE(16:0_18:1),2
PE(16:0_18:2),0
PE(16:0_18:3),0
PE(16:0_20:4),0
PE(16:0_20:5),0
PE(16:1_18:2),0
