"table","title","sheet","was","rows","cols","source_file"
"S1","Population_structure_and_ancestry","Lipid tests","S24",56,23,"SuppTable_S24_Population_Structure_Lipid_Tests.csv"
"S1","Population_structure_and_ancestry","Group composition","S24a",12,7,"SuppTable_S24a_Group_Composition.csv"
"S1","Population_structure_and_ancestry","PC tests","S24b",8,9,"SuppTable_S24b_Population_Structure_PC_Tests.csv"
"S2","Genomic_heritability","Per-species paired","S25",326,8,"SuppTable_S25_Heritability_PerSpecies_Paired.csv"
"S2","Genomic_heritability","Class sums","S26",34,8,"SuppTable_S26_Heritability_Class_Sums.csv"
"S2","Genomic_heritability","Structure-conditioned","S27",26,14,"SuppTable_S27_Heritability_StructureConditioned.csv"
"S2","Genomic_heritability","Per-species structure and h2","S28",430,21,"SuppTable_S28_PerSpecies_Structure_and_Heritability.csv"
"S2","Genomic_heritability","Ancestry robustness","S29",54,6,"SuppTable_S29_Heritability_AncestryRobustness.csv"
"S3","Species_inventory_and_stability","Species summary","S6a",6,2,"SuppTable_S6a_Species_Summary.csv"
"S3","Species_inventory_and_stability","By class","S6b",14,3,"SuppTable_S6b_Species_by_Class.csv"
"S3","Species_inventory_and_stability","By category","S6c",6,3,"SuppTable_S6c_Species_by_SuperClass.csv"
"S3","Species_inventory_and_stability","Composition stability","S5G",26,10,"SuppTable_S5G_Composition_Stability.csv"
"S4","Class_composition_and_contrasts","Composition pctTIC","S5D",40,4,"SuppTable_S5D_Class_Composition_pctTIC.csv"
"S4","Class_composition_and_contrasts","CLR contrast","S5A",13,6,"SuppTable_S5A_Class_CLR_Contrast.csv"
"S4","Class_composition_and_contrasts","ALR contrast","S5B",12,6,"SuppTable_S5B_Class_ALR_Contrast.csv"
"S4","Class_composition_and_contrasts","CLR correlation delta","S5C",78,10,"SuppTable_S5C_Class_CLR_Correlation_Delta.csv"
"S4","Class_composition_and_contrasts","Ratio statistics","S1",33,11,"SuppTable_S1_Ratio_Statistics.csv"
"S4","Class_composition_and_contrasts","Top-variance lipids","S4",20,5,"SuppTable_S4_TopVariance_Lipids.csv"
"S5","Lipid_ontology_and_chemical_space","LION enrichment","S5E",10,7,"SuppTable_S5E_LION_Enrichment.csv"
"S5","Lipid_ontology_and_chemical_space","Chemical space","S5F",26,5,"SuppTable_S5F_Chemical_Space.csv"
"S6","GWAS_candidate_genes","CTL individual","S7",1062,15,"SuppTable_S7_CTL_GWAS_candidate_genes_for_individual_lipid_traits.tsv"
"S6","GWAS_candidate_genes","CTL sum-ratio","S8",54,15,"SuppTable_S8_CTL_GWAS_candidate_genes_for_lipid_sum_ratio_traits.tsv"
"S6","GWAS_candidate_genes","LIN individual","S9",4370,15,"SuppTable_S9_LIN_GWAS_candidate_genes_for_individual_lipid_traits.tsv"
"S6","GWAS_candidate_genes","LIN sum-ratio","S10",385,15,"SuppTable_S10_LIN_GWAS_candidate_genes_for_lipid_sum_ratio_traits.tsv"
"S7","GO_enrichment","Loci collapsed","S16",217,15,"SuppTable_S16_GO_loci_collapsed.tsv"
"S7","GO_enrichment","BP all terms","S17",164,13,"SuppTable_S17_GO_BP_all_terms.tsv"
"S7","GO_enrichment","MF all terms","S18",180,13,"SuppTable_S18_GO_MF_all_terms.tsv"
"S7","GO_enrichment","Genes in enriched terms","S19",919,17,"SuppTable_S19_genes_in_enriched_GO_terms.tsv"
"S8","CTL_LIN_candidate_overlap","Gene level","S20",3,10,"SuppTable_S20_Overlap_gene_level.csv"
"S8","CTL_LIN_candidate_overlap","Locus level","S21",9,10,"SuppTable_S21_Overlap_locus_level.csv"
"S8","CTL_LIN_candidate_overlap","Shared individual","S22",282,6,"SuppTable_S22_Shared_genes_individual.csv"
"S8","CTL_LIN_candidate_overlap","Shared sum-ratio","S23",0,6,"SuppTable_S23_Shared_genes_sumratio.csv"
"S8","CTL_LIN_candidate_overlap","By lipid class","S30",17,12,"SuppTable_S30_Overlap_by_lipid_class.csv"
"S8","CTL_LIN_candidate_overlap","Shared ranked","S31",291,5,"SuppTable_S31_Shared_genes_ranked.csv"
"S9","LINEX_reaction_mapping","Reactions","S11",4,7,"SuppTable_S11_LINEX_Reactions.csv"
"S9","LINEX_reaction_mapping","Reaction balance","S12",4,12,"SuppTable_S12_ReactionBalance.csv"
"S9","LINEX_reaction_mapping","GWAS gene support","S13",15,14,"SuppTable_S13_LINEX_GWAS_GeneSupport.csv"
"S9","LINEX_reaction_mapping","Branch summary","S14",5,8,"SuppTable_S14_LINEX_GWAS_BranchSummary.csv"
"S10","Frozen_lipid_species_set","Final lipid classes","S15",316,6,"SuppTable_S15_final_lipid_classes.csv"
