Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Class sums and ratios	CTL	AEG	transmembrane transport	GO:0055085	6	526	6	3.4	0.041	0.013	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G088500;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
BP	Class sums and ratios	CTL	PA	hydrogen peroxide catabolic process	GO:0042744	3	104	2	7.6	0.041	0.02	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Class sums and ratios	CTL	PE	transmembrane transport	GO:0055085	5	526	5	3.8	0.046	0.016	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
BP	Class sums and ratios	LIN	DG	purine nucleoside transmembrane transport	GO:0015860	3	7	1	63.6	4.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	DG	purine nucleobase transport	GO:0006863	3	7	1	63.6	4.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	DG	purine nucleobase transmembrane transport	GO:1904823	3	8	1	55.7	4.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	transmembrane transport	GO:0055085	31	526	22	1.7	0.027	0.011	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500;SORBI_3010G151000
BP	Class sums and ratios	LIN	FA	nitrate assimilation	GO:0042128	3	9	1	9.4	0.025	0.016	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
BP	Class sums and ratios	LIN	FA	detection of stimulus	GO:0051606	3	10	1	8.4	0.031	0.017	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
BP	Class sums and ratios	LIN	FA	purine nucleoside transmembrane transport	GO:0015860	3	7	1	12.1	0.013	0.02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	purine nucleobase transport	GO:0006863	3	7	1	12.1	0.013	0.02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	purine nucleobase transmembrane transport	GO:1904823	3	8	1	10.5	0.018	0.02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SM	purine nucleoside transmembrane transport	GO:0015860	3	7	1	54.1	4.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SM	purine nucleobase transport	GO:0006863	3	7	1	54.1	4.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SM	purine nucleobase transmembrane transport	GO:1904823	3	8	1	47.4	5.4e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SQDG	positive regulation of transcription by RNA polymerase II	GO:0045944	4	66	4	5.6	0.036	0.011	SORBI_3001G041700;SORBI_3003G406800;SORBI_3004G009600;SORBI_3006G194400
BP	Class sums and ratios	LIN	SQDG	cellular response to phosphate starvation	GO:0016036	3	16	2	17.4	0.0064	0.011	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	SQDG	nitrate assimilation	GO:0042128	3	9	1	31	0.0012	0.011	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
BP	Class sums and ratios	LIN	SQDG	nitrate transmembrane transport	GO:0015706	3	15	1	18.6	0.0057	0.011	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
BP	Class sums and ratios	LIN	SQDG	purine nucleoside transmembrane transport	GO:0015860	3	7	1	39.9	6.4e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SQDG	purine nucleobase transport	GO:0006863	3	7	1	39.9	6.4e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	SQDG	purine nucleobase transmembrane transport	GO:1904823	3	8	1	34.9	9.1e-4	0.011	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Individual lipid species	CTL	PA	hydrogen peroxide catabolic process	GO:0042744	3	104	2	15.3	0.021	0.015	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	response to oxidative stress	GO:0006979	3	118	2	13.4	0.021	0.015	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	cellular oxidant detoxification	GO:0098869	3	131	2	12.1	0.025	0.015	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PC	proteolysis	GO:0006508	5	272	4	7.4	0.012	0.0057	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
BP	Individual lipid species	CTL	TG	positive regulation of cytoplasmic translation	GO:2000767	14	126	13	3.3	0.0046	0.044	SORBI_3001G221850;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
BP	Individual lipid species	CTL	TG	L-tyrosine catabolic process	GO:0006572	4	12	3	9.8	0.013	0.0068	SORBI_3002G041100;SORBI_3002G041200;SORBI_3002G104200;SORBI_3005G152200
BP	Individual lipid species	LIN	AEG	sphingolipid metabolic process	GO:0006665	3	17	3	32.5	0.0046	0.0057	SORBI_3001G434900;SORBI_3003G394100;SORBI_3007G041500
BP	Individual lipid species	LIN	AEG	regulation of defense response	GO:0031347	3	16	2	34.5	0.0046	0.0068	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
BP	Individual lipid species	LIN	AEG	regulation of jasmonic acid mediated signaling pathway	GO:2000022	3	18	2	30.7	0.0047	0.0068	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
BP	Individual lipid species	LIN	AEG	response to wounding	GO:0009611	3	39	2	14.2	0.021	0.028	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
BP	Individual lipid species	LIN	FA	nitrate assimilation	GO:0042128	3	9	1	9.5	0.036	0.015	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
BP	Individual lipid species	LIN	FA	purine nucleoside transmembrane transport	GO:0015860	3	7	1	12.3	0.021	0.021	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Individual lipid species	LIN	FA	purine nucleobase transport	GO:0006863	3	7	1	12.3	0.021	0.021	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Individual lipid species	LIN	FA	purine nucleobase transmembrane transport	GO:1904823	3	8	1	10.7	0.028	0.021	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Individual lipid species	LIN	FA	detection of stimulus	GO:0051606	3	10	1	8.6	0.048	0.021	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
BP	Individual lipid species	LIN	PC	cell division	GO:0051301	12	68	11	2.8	0.021	0.0057	SORBI_3001G166800;SORBI_3001G211500;SORBI_3001G526300;SORBI_3002G230900;SORBI_3003G373100;SORBI_3003G375200;SORBI_3003G388000;SORBI_3004G183900;SORBI_3008G104000;SORBI_3009G087300;SORBI_3009G104900;SORBI_3009G184200
BP	Individual lipid species	LIN	PC	anaphase-promoting complex-dependent catabolic process	GO:0031145	3	5	3	9.4	0.029	0.0068	SORBI_3001G526300;SORBI_3003G388000;SORBI_3009G104900
BP	Individual lipid species	LIN	PC	nucleotide transport	GO:0006862	3	6	2	7.9	0.048	0.021	SORBI_3001G100800;SORBI_3001G101100;SORBI_3003G169600
BP	Individual lipid species	LIN	PC	carbon utilization	GO:0015976	3	5	2	9.4	0.029	0.026	SORBI_3002G230100;SORBI_3003G234200;SORBI_3003G234500
BP	Individual lipid species	LIN	PC	sterol metabolic process	GO:0016125	5	10	1	7.9	0.0069	0.015	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600
BP	Individual lipid species	LIN	SQDG	positive regulation of cytoplasmic translation	GO:2000767	12	126	12	5.3	6.9e-4	0.044	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050
BP	Individual lipid species	LIN	SQDG	DNA topological change	GO:0006265	3	5	3	33.4	0.0046	0.0058	SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400
BP	Individual lipid species	LIN	SQDG	negative regulation of response to salt stress	GO:1901001	4	20	2	11.1	0.012	0.0065	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300
BP	Individual lipid species	LIN	SQDG	defense response to oomycetes	GO:0002229	5	48	2	5.8	0.024	0.0068	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
BP	Individual lipid species	LIN	SQDG	cell surface receptor protein serine/threonine kinase signaling pathway	GO:0007178	5	45	2	6.2	0.021	0.014	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
BP	Individual lipid species	LIN	TG	regulation of salicylic acid biosynthetic process	GO:0080142	4	7	3	13.8	0.0046	0.0057	SORBI_3001G031600;SORBI_3003G083200;SORBI_3004G181600;SORBI_3004G181700
MF	Class sums and ratios	CTL	DG	zinc ion binding	GO:0008270	8	1015	7	3.9	0.015	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	DGDG	zinc ion binding	GO:0008270	9	1015	8	3.8	0.013	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G105900;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	FA	zinc ion binding	GO:0008270	7	1015	6	4.1	0.019	0.005	SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	GalCer	zinc ion binding	GO:0008270	8	1015	7	3.7	0.017	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	MG	zinc ion binding	GO:0008270	8	1015	7	3.7	0.017	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	MGDG	zinc ion binding	GO:0008270	8	1015	7	3.9	0.015	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	CTL	SQDG	zinc ion binding	GO:0008270	8	1015	7	3.9	0.015	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
MF	Class sums and ratios	LIN	DG	purine nucleoside transmembrane transporter activity	GO:0015211	3	7	1	61.2	0.0027	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
MF	Class sums and ratios	LIN	DG	purine nucleobase transmembrane transporter activity	GO:0005345	3	8	1	53.5	0.0027	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
